date,symbol,industry,open,high,low,close,volume
2025-04-08,360ONE,Financial Services,883.0,889.8,843.05,847.7,880189
2025-04-08,3MINDIA,Diversified,27850.0,28399.9,27504.05,28251.15,2662
2025-04-08,AADHARHFC,Financial Services,445.0,457.0,433.65,454.2,1396632
2025-04-08,AARTIIND,Chemicals,364.9,368.0,355.5,364.0,1039376
2025-04-08,AAVAS,Financial Services,2029.85,2093.95,2021.0,2083.35,192735
2025-04-08,ABB,Capital Goods,5041.05,5119.95,4970.0,5064.4,304029
2025-04-08,ABBOTINDIA,Healthcare,29498.9,29554.85,28900.1,29398.95,6460
2025-04-08,ABCAPITAL,Financial Services,183.78,187.76,181.11,184.02,4734526
2025-04-08,ABDL,Fast Moving Consumer Goods,313.9,314.5,305.15,313.2,240261
2025-04-08,ABFRL,Consumer Services,248.05,253.15,244.85,248.9,1066011
2025-04-08,ABREL,Realty,1869.95,1869.95,1782.85,1807.75,129369
2025-04-08,ABSLAMC,Financial Services,634.25,644.95,620.1,623.35,245581
2025-04-08,ACC,Construction Materials,1955.0,1984.0,1939.5,1973.55,101539
2025-04-08,ACE,Capital Goods,1205.1,1237.2,1187.0,1199.6,187373
2025-04-08,ACMESOLAR,Power,196.9,198.8,189.25,194.83,1800373
2025-04-08,ACUTAAS,Healthcare,1099.18,1117.5,1065.93,1113.73,265866
2025-04-08,ADANIENSOL,Power,835.0,847.85,826.85,841.15,1707784
2025-04-08,ADANIENT,Metals & Mining,2219.64,2247.32,2179.46,2233.66,1224362
2025-04-08,ADANIGREEN,Power,899.0,908.1,873.3,875.8,3363547
2025-04-08,ADANIPORTS,Services,1135.0,1155.65,1111.05,1131.35,2423486
2025-04-08,ADANIPOWER,Power,105.0,105.09,101.6,102.71,3816989
2025-04-08,AEGISLOG,Oil Gas & Consumable Fuels,797.75,807.75,770.0,778.35,1095122
2025-04-08,AFCONS,Construction,439.9,439.9,427.1,433.0,734873
2025-04-08,AFFLE,Information Technology,1469.95,1490.05,1441.0,1459.95,317635
2025-04-08,AIAENG,Capital Goods,3123.9,3142.5,3074.1,3100.0,133285
2025-04-08,AJANTPHARM,Healthcare,2390.05,2520.0,2332.25,2494.7,158746
2025-04-08,AKZOINDIA,Consumer Durables,3433.6,3494.0,3403.1,3482.2,13674
2025-04-08,ALKEM,Healthcare,4799.45,4876.75,4700.65,4837.15,79702
2025-04-08,AMBER,Consumer Durables,6450.0,6523.0,6306.3,6458.05,400725
2025-04-08,AMBUJACEM,Construction Materials,535.0,539.1,527.45,536.8,1899103
2025-04-08,ANANDRATHI,Financial Services,1830.0,1830.0,1776.3,1795.15,54650
2025-04-08,ANANTRAJ,Realty,439.95,440.85,422.0,435.15,1504794
2025-04-08,ANGELONE,Financial Services,220.14,227.0,216.72,222.57,1604355
2025-04-08,ANURAS,Chemicals,724.0,728.85,695.75,717.05,231573
2025-04-08,APARINDS,Capital Goods,5099.1,5159.5,4896.1,4943.75,108746
2025-04-08,APLAPOLLO,Capital Goods,1469.75,1491.0,1429.8,1469.6,776485
2025-04-08,APOLLOHOSP,Healthcare,6725.0,6790.0,6716.25,6755.6,578124
2025-04-08,APOLLOTYRE,Automobile and Auto Components,402.0,405.15,392.5,401.45,1170323
2025-04-08,APTUS,Financial Services,298.0,307.9,294.9,305.6,535501
2025-04-08,ARE&M,Automobile and Auto Components,997.65,997.65,957.5,967.35,416987
2025-04-08,ASAHIINDIA,Automobile and Auto Components,630.0,630.0,615.6,619.25,29859
2025-04-08,ASHOKLEY,Capital Goods,100.5,101.75,99.0,100.91,4276450
2025-04-08,ASIANPAINT,Consumer Durables,2356.0,2420.0,2356.0,2394.2,1876867
2025-04-08,ASTERDM,Healthcare,481.25,493.8,477.0,481.2,750876
2025-04-08,ASTRAL,Capital Goods,1294.05,1319.6,1257.9,1269.4,449764
2025-04-08,ATGL,Oil Gas & Consumable Fuels,587.65,590.0,575.5,584.95,585513
2025-04-08,ATUL,Chemicals,5377.0,5377.0,5130.0,5183.25,29532
2025-04-08,AUBANK,Financial Services,550.0,552.5,543.05,545.6,1450103
2025-04-08,AUROPHARMA,Healthcare,1100.3,1128.9,1091.15,1097.0,679847
2025-04-08,AWL,Fast Moving Consumer Goods,273.0,277.25,270.4,275.45,3005106
2025-04-08,AXISBANK,Financial Services,1061.0,1084.95,1060.3,1077.85,8723357
2025-04-08,BAJAJ-AUTO,Automobile and Auto Components,7384.5,7529.85,7345.75,7498.05,259199
2025-04-08,BAJAJFINSV,Financial Services,1890.0,1934.0,1873.7,1903.2,3182018
2025-04-08,BAJAJHFL,Financial Services,121.48,122.0,117.6,118.02,10697770
2025-04-08,BAJAJHLDNG,Financial Services,11249.95,11249.95,10625.6,10811.75,184342
2025-04-08,BAJFINANCE,Financial Services,865.0,887.3,865.0,882.23,1477563
2025-04-08,BALKRISIND,Automobile and Auto Components,2291.0,2332.25,2273.5,2320.1,618936
2025-04-08,BALRAMCHIN,Fast Moving Consumer Goods,551.75,556.0,524.0,527.0,480329
2025-04-08,BANDHANBNK,Financial Services,148.0,150.99,148.0,150.0,5022455
2025-04-08,BANKBARODA,Financial Services,232.0,236.6,231.13,235.84,9329948
2025-04-08,BANKINDIA,Financial Services,108.39,110.0,107.2,109.25,7718332
2025-04-08,BATAINDIA,Consumer Durables,1199.95,1232.8,1190.05,1211.85,172896
2025-04-08,BAYERCROP,Chemicals,4711.2,4849.9,4711.1,4819.85,25606
2025-04-08,BBTC,Fast Moving Consumer Goods,1733.0,1765.95,1724.95,1740.95,32030
2025-04-08,BDL,Capital Goods,1289.0,1309.0,1260.1,1287.5,982571
2025-04-08,BEL,Capital Goods,282.45,288.0,276.6,281.45,26787606
2025-04-08,BEML,Capital Goods,1450.0,1450.0,1399.0,1437.55,308135
2025-04-08,BERGEPAINT,Consumer Durables,520.0,538.0,516.85,535.55,2226260
2025-04-08,BHARATFORG,Automobile and Auto Components,994.95,994.95,947.4,970.35,1980407
2025-04-08,BHARTIARTL,Telecommunication,1720.7,1742.3,1706.8,1720.4,7206935
2025-04-08,BHARTIHEXA,Telecommunication,1418.95,1437.5,1415.35,1427.05,744985
2025-04-08,BHEL,Capital Goods,211.0,214.9,208.58,210.94,9741351
2025-04-08,BIKAJI,Fast Moving Consumer Goods,688.0,689.2,676.0,683.35,194660
2025-04-08,BIOCON,Healthcare,312.05,327.4,308.5,322.3,4084647
2025-04-08,BLS,Consumer Services,362.0,371.7,345.05,367.25,7656971
2025-04-08,BLUEDART,Services,6125.0,6177.95,5784.05,6071.75,21341
2025-04-08,BLUEJET,Healthcare,679.95,719.7,679.0,694.55,572045
2025-04-08,BLUESTARCO,Consumer Durables,2032.35,2032.35,1952.05,1977.45,664065
2025-04-08,BOSCHLTD,Automobile and Auto Components,26800.0,27089.95,26350.0,26516.3,11659
2025-04-08,BPCL,Oil Gas & Consumable Fuels,279.5,287.5,275.1,285.9,18994276
2025-04-08,BRIGADE,Realty,944.3,944.3,910.0,923.95,653284
2025-04-08,BRITANNIA,Fast Moving Consumer Goods,5062.45,5188.1,5038.65,5179.35,303185
2025-04-08,BSE,Financial Services,1800.0,1852.95,1784.18,1846.07,3474022
2025-04-08,BSOFT,Information Technology,354.35,359.9,346.35,356.4,1259915
2025-04-08,CAMS,Financial Services,728.0,738.85,710.1,714.6,341221
2025-04-08,CANBK,Financial Services,89.0,89.84,87.6,89.43,21516232
2025-04-08,CANFINHOME,Financial Services,654.8,677.05,654.8,660.1,252153
2025-04-08,CAPLIPOINT,Healthcare,1898.65,1918.8,1852.5,1863.25,67941
2025-04-08,CARBORUNIV,Capital Goods,961.85,977.0,947.15,953.35,74607
