date,cash,holdings_value,total_nav,nav_base_100,positions
2026-04-07,44883.01,9955116.99,10000000.0,100.0,25
2026-04-08,44883.01,10208612.74,10253495.75,102.53,25
2026-04-09,44883.01,10346696.58,10391579.59,103.92,25
2026-04-10,44883.01,10528059.34,10572942.35,105.73,25
2026-04-13,44883.01,10543769.19,10588652.2,105.89,25
2026-04-15,44883.01,10660506.44,10705389.45,107.05,25
2026-04-16,44883.01,10752168.05,10797051.06,107.97,25
2026-04-17,44883.01,10886103.68,10930986.69,109.31,25
2026-04-20,44883.01,10892392.64,10937275.65,109.37,25
2026-04-21,44883.01,10912541.23,10957424.24,109.57,25
2026-04-22,44883.01,10965783.26,11010666.27,110.11,25
2026-04-23,44883.01,10949569.11,10994452.12,109.94,25
2026-04-24,44883.01,10922014.8,10966897.81,109.67,25
2026-04-27,17554.81,11118308.5,11135863.31,111.36,25
